Sample	posterior	likelihood	prior	treeLikelihood.subclusterForRe_1	superspreaderFraction.t:subclusterForRe_1	relativeTransmissibility.t:subclusterForRe_1	totalR0.t:subclusterForRe_1	R0.t:subclusterForRe_1.1	R0.t:subclusterForRe_1.2	samplingProportion.t:subclusterForRe_1.1	samplingProportion.t:subclusterForRe_1.2	samplingProportion.t:subclusterForRe_1.3	samplingProportion.t:subclusterForRe_1.4	becomeUninfectiousRate.t:subclusterForRe_1.1	becomeUninfectiousRate.t:subclusterForRe_1.2	rateMatrix.t:subclusterForRe_1.1	rateMatrix.t:subclusterForRe_1.2	geo-frequencies.t:subclusterForRe_1.1	geo-frequencies.t:subclusterForRe_1.2	rho.t:subclusterForRe_1.1	rho.t:subclusterForRe_1.2	clockRate.c:subclusterForRe_1
10000	-42039.15605908418	-43341.4737306879	1302.3176716037258	-44107.74284243037	0.9970963597894146	0.07877919902413884	1.5896304415894214	1.589265844009233	3.645975801881301E-4	0.16366036666420905	0.014390029317365282	0.04673674841993636	0.025100193781136034	23.45929369957279	23.45929369957279	0.0	0.0	0.7024928185803002	0.2975071814196998	0.0	0.0	0.00349334805401808
11000	-42749.88943387667	-44083.167683559484	1333.2782496828177	-44083.167683559484	0.9970963597894146	0.07286797484998375	1.9928341495984627	1.9924113628360682	4.227867623944203E-4	0.21305962992035968	0.014603262286555688	0.04188672623862528	0.02911529579936048	16.611037419151675	16.611037419151675	0.0	0.0	0.7844114392432854	0.21558856075671462	0.0	0.0	0.004689906424856032
12000	-42754.549039915946	-44111.74180833643	1357.1927684204854	-44111.74180833643	0.9972363786837624	0.06688524426395799	1.6077441891265	1.607446236516238	2.979526102619606E-4	0.2672967842407946	0.017709744371031615	0.056656990343532596	0.0414142941985816	20.21504722184114	20.21504722184114	0.0	0.0	0.7844114392432854	0.21558856075671462	0.0	0.0	0.004689906424856032
13000	-42771.431978682056	-44137.58407298249	1366.1520943004361	-44137.58407298249	0.9994965893121669	0.10981580777924858	2.018979464406082	2.018867800232237	1.1166417384478664E-4	0.422737814051745	0.0177472993716913	0.08224114193593945	0.043212954645448685	13.822631750890165	13.822631750890165	0.0	0.0	0.8154750095659602	0.18452499043403978	0.0	0.0	0.004689906424856032
14000	-42784.625630394265	-44151.59681870361	1366.9711883093491	-44151.59681870361	0.9994965893121669	0.1648107547748667	2.663331083114243	2.6631100202604214	2.2106285382155402E-4	0.9429086281708445	0.033044021546351034	0.14117121177167946	0.08452547479696214	8.222199365930205	8.222199365930205	0.0	0.0	0.8231767074148246	0.17682329258517526	0.0	0.0	0.004689906424856032
15000	-42805.665253505445	-44175.829146453725	1370.16389294828	-44656.8897978121	0.9826970673317008	0.14959153105427844	3.010524347883256	3.0026156168845515	0.007908730998704748	0.9573808573869411	0.049359258984741285	0.1886427398337222	0.1024244534828262	7.3903432746403235	7.3903432746403235	0.0	0.0	0.8231767074148246	0.17682329258517526	0.0	0.0	0.004689906424856032
16000	-42806.43745217043	-44175.829146453725	1369.3916942832952	-44656.8897978121	0.9779895952360949	0.23041798142737602	2.199442955039833	2.188096072763175	0.01134688227665787	0.99372952334929	0.041754049149998654	0.15746512555085487	0.09699623127116502	9.042328043324018	9.042328043324018	0.0	0.0	0.8231767074148246	0.17682329258517526	0.0	0.0	0.004689906424856032
17000	-42808.62799691303	-44175.829146453725	1367.2011495406985	-44656.8897978121	0.9652295394368289	0.12601973092117658	2.7289876212313158	2.7166550711656865	0.012332550065629257	0.9514200421988018	0.0393320045598338	0.1628417770065158	0.08695264736126569	8.689423665312047	8.689423665312047	0.0	0.0	0.8231767074148246	0.17682329258517526	0.0	0.0	0.004689906424856032
18000	-42805.09475272091	-44175.829146453725	1370.7343937328196	-44656.8897978121	0.9965086005254746	0.25456284106269056	2.9414862338138277	2.9388650761291606	0.0026211576846673	0.8710981957426422	0.03245834438202027	0.12171124873067035	0.0846295282991032	7.934274628863723	7.934274628863723	0.0	0.0	0.8231767074148246	0.17682329258517526	0.0	0.0	0.004689906424856032
19000	-42808.11767867771	-44175.829146453725	1367.7114677760153	-44656.8897978121	0.9692118242341872	0.20702665718728683	2.8085330629228906	2.790183560224628	0.018349502698262667	0.7807176738548277	0.03762311252167138	0.11245349125258271	0.10228723123106641	8.008250994343328	8.008250994343328	0.0	0.0	0.8140972597619903	0.18590274023800954	0.0	0.0	0.004689906424856032
20000	-42804.89569824218	-44175.829146453725	1370.9334482115412	-45456.543530585135	0.9623521945285315	0.20437008753699787	2.634072653021168	2.613180062533888	0.020892590487280045	0.9174857428811584	0.04364820284550018	0.09616990804929837	0.11393035030183445	8.255554593008146	8.255554593008146	0.0	0.0	0.7728959942975813	0.22710400570241862	0.0	0.0	0.004689906424856032
21000	-44121.339033045704	-45489.08989742986	1367.750864384156	-45489.08989742986	0.9942784523304157	0.3477298097533925	2.6883279446919603	2.682959339008285	0.005368605683675046	0.9015825151190427	0.04854817645991992	0.13793544727024593	0.09309351548311513	8.503344837995062	8.503344837995062	0.0	0.0	0.6571631168342217	0.34283688316577815	0.0	0.0	0.004689906424856032
22000	-44134.50196608422	-45493.72061099678	1359.2186449125586	-45493.72061099678	0.8899583099546022	0.3543386523324281	2.674163644133894	2.5619175427356264	0.11224610139826735	0.8821277042554455	0.02665795795843976	0.07790254115396635	0.20856351413183094	8.944539542828979	8.944539542828979	0.0	0.0	0.6571631168342217	0.34283688316577815	0.0	0.0	0.004689906424856032
23000	-44142.13081773685	-45514.085890404145	1371.9550726672999	-45514.085890404145	0.8070165142093689	0.1972180639509182	2.5808140448252845	2.464581537424266	0.11623250740101852	0.8008181413197746	0.03827292808990893	0.02909473223308727	0.21401218846260084	9.974531410127053	9.974531410127053	0.0	0.0	0.6571631168342217	0.34283688316577815	0.0	0.0	0.004689906424856032
24000	-44136.93678120393	-45520.39735158952	1383.4605703855907	-45520.39735158952	0.9927647852989168	0.4858132040555699	2.6032940257401234	2.594109374773673	0.009184650966449997	0.9958257571929053	0.06315621594854554	0.12256004255546281	0.952696039947485	8.504470122828826	8.504470122828826	0.0	0.0	0.6571631168342217	0.34283688316577815	0.0	0.0	0.004689906424856032
25000	-44132.49118958586	-45522.95190219312	1390.4607126072553	-46283.47064599245	0.9927647852989168	0.881643359010506	2.486878600874893	2.4710015070891957	0.015877093785696877	0.9680243430938269	0.5517261831593598	0.35294496389402646	0.33172752636140207	8.106573810892746	8.106573810892746	0.0	0.0	0.6080096367357171	0.3919903632642827	0.0	0.0	0.004689906424856032
26000	-44132.575125530886	-45522.95190219312	1390.3767766622366	-46283.47064599245	0.9555311898723844	0.22205453577393985	2.1575952738027193	2.135526648283563	0.022068625519156674	0.8594140692339751	0.8145110288839172	0.11698154276064365	0.6113455954208072	9.940791180210981	9.940791180210981	0.0	0.0	0.907728183645732	0.0922718163542677	0.0	0.0	0.004689906424856032
27000	-44133.68200817143	-45522.95190219312	1389.2698940216897	-46283.47064599245	0.9465466824237329	0.48168378011817925	2.1765976241492675	2.11895853516859	0.057639088980677634	0.7154360883374271	0.8007660211063694	0.11208737569502135	0.9264250618814979	10.837772266323212	10.837772266323212	0.0	0.0	0.907728183645732	0.0922718163542677	0.0	0.0	0.004689906424856032
28000	-44133.05704596603	-45522.95190219312	1389.8948562270866	-46283.47064599245	0.9734657694346937	0.5300770531716994	2.894585091884724	2.853358151488164	0.041226940396560316	0.8233697742031582	0.8973306013609432	0.09268873866699617	0.8367249154893057	8.026206270859454	8.026206270859454	0.0	0.0	0.6677587053376578	0.332241294662342	0.0	0.0	0.004689906424856032
29000	-44130.75065497184	-45522.95190219312	1392.2012472212825	-46283.47064599245	0.9885694122987179	0.4622869699594679	2.0855398508914234	2.0744512620637376	0.01108858882768553	0.8914912877848152	0.9666524359480863	0.1259470232200831	0.5164002287510777	10.57841573106015	10.57841573106015	0.0	0.0	0.5647813176486516	0.4352186823513482	0.0	0.0	0.004689906424856032
30000	-44130.63870571028	-45522.95190219312	1392.31319648284	-46937.26936305629	0.9885694122987179	0.9946875817025534	2.0303095820081047	2.0072238370574556	0.023085744950648978	0.8754164118911368	0.9819678395254744	0.2024893104355773	0.2083837391628658	10.678234388978606	10.678234388978606	0.0	0.0	0.2107344498059981	0.7892655501940017	0.0	0.0	0.004689906424856032
31000	-45580.386299927595	-46966.86803367458	1386.481733746988	-46966.86803367458	0.9735777359866665	0.2620558288156246	2.1193625502842024	2.104396035024146	0.01496651526005611	0.8521271626909309	0.49411630555102704	0.0910195910911402	0.24387164388980576	10.457133527345851	10.457133527345851	0.0	0.0	0.48905366418745777	0.510946335812542	0.0	0.0	0.004843137725581962
32000	-45615.77979096066	-46995.76609275852	1379.9863017978587	-46995.76609275852	0.9685234885184887	0.4355450174744237	1.7796376102698561	1.7547984602360716	0.024839150033784584	0.6639444221548454	0.8379740455638912	0.02837969869807405	0.2805326373513818	13.17929080713836	13.17929080713836	0.0	0.0	0.24179961721022236	0.7582003827897774	0.0	0.0	0.004843137725581962
33000	-45656.30160009521	-47030.390569265684	1374.0889691704701	-47030.390569265684	0.9990482085020973	0.041568000272636796	1.780112779825942	1.7800422870151829	7.049281075921743E-5	0.5777174458048521	0.2963898346782469	0.0013182325846331118	0.5551692211921863	14.127230095948432	14.127230095948432	0.0	0.0	0.7555568168870583	0.24444318311294144	0.0	0.0	0.004843137725581962
34000	-45660.36824769328	-47036.92899848264	1376.5607507893574	-47036.92899848264	0.7828861071357449	0.8313152870682636	2.3855164602123007	1.938586073386986	0.4469303868253146	0.94535340064041	0.06556208977730142	0.004526229824805268	0.5532759521209721	9.561853624160765	9.561853624160765	0.0	0.0	0.38812768522488184	0.6118723147751179	0.0	0.0	0.004843137725581962
